순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
362 ,친구 딸들의 맛,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-06-15,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
363 ,친구 딸들의 맛(감독판),강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-07-03,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
364 ,친구 엄마들의 맛,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-08-10,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
365 ,친구누나2 무삭제,이리단,(주)영화사가을,,(주)영화사가을,2018-08-10,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
366 ,친구엄마 : 그녀의 밤기술 무삭제,이상민,(주)영화사가을,,(주)영화사가을,2018-03-28,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
367 ,친구엄마 : 내 여자가 되던 날,이상민,(주)영화사가을,,(주)영화사가을,2018-02-20,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
368 ,친구엄마 : 내 여자가 되던 날 무삭제,이상민,(주)영화사가을,,(주)영화사가을,2018-07-24,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
369 ,친구엄마 : 섹스 하던 날,이상민,(주)영화사가을,,(주)영화사가을,2018-01-18,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
370 ,친구엄마 : 섹스 하던 날 무삭제,이상민,(주)영화사가을,,(주)영화사가을,2018-07-24,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
371 ,친구엄마 : 은밀한 정사,이상민,(주)영화사가을,,(주)영화사가을,2018-08-14,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
372 ,친구엄마 : 참을 수 없는 날  무삭제,이상민,(주)영화사가을,,(주)영화사가을,2018-03-28,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
373 ,친구엄마: 그녀의 병간호 (무삭제),강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-01-31,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
374 ,친구엄마: 여자친구의 엄마를 탐하다,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-05-24,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
375 ,친구엄마: 여자친구의 엄마를 탐하다(무삭제),강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-06-15,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
376 ,친구엄마: 이혼한 그녀의 남자가 되던 날 (무삭제),강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-03-09,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
377 ,친구엄마들: 맛있는 섹스,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-08-30,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
378 ,큰놈의 불기둥,김영민,골든타이드픽처스(주),,골든타이드픽처스(주),2018-05-17,개봉영화,장편,한국,1 ,2000,1 ,2000,1 ,드라마,청소년관람불가,상업영화
379 ,타짜의 목적,김경훈,노바엔터테인먼트 ,,노바엔터테인먼트 ,2018-05-15,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,,청소년관람불가,상업영화
380 ,파도 여인 그리고 탱고 무삭제판,박갑종,(주)갑종무비필름,,(주)에스와이미디어,2018-01-12,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
381 ,하숙집 여주인의 목적-감독판,이민,(주)케이알씨지,,(주)케이알씨지,2018-04-10,개봉영화,장편,한국,1 ,2000,1 ,2000,1 ,멜로/로맨스,청소년관람불가,상업영화
382 ,학생의 엄마 : 첫 섹스 하던 날 무삭제,이상민,(주)영화사가을,,(주)영화사가을,2018-03-28,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
383 ,형수의 직업_무삭제판,노현진,(주)마이애미미디어,,(주)마이애미미디어,2018-04-20,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,,청소년관람불가,상업영화
384 ,후배부부와 교환섹스,남현수,스마일컨텐츠,,스마일컨텐츠,2018-06-29,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
385 ,후배부부와 교환섹스-무삭제,남현수,스마일컨텐츠,,스마일컨텐츠,2018-08-03,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
386 ,1박2일 소개팅,김영민,골든타이드픽처스(주),,골든타이드픽처스(주),2018-05-01,개봉영화,장편,한국,1 ,2000,1 ,2000,1 ,드라마,청소년관람불가,상업영화
387 ,19금 특별한 정사,닥터 필,(주)케이알씨지,,(주)케이알씨지,2018-04-24,개봉영화,장편,한국,1 ,1000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
